"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";231123;34;2502;3;8;26;0;10;6;4;6;19;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231126;138;2502;10;22;116;3;24;46;13;30;78;60;9;0;3;3;0;0;1;0;0;2;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1
2016;"MUNICIPIO";231130;610;2502;25;79;531;35;84;105;83;224;369;241;29;0;22;16;6;0;3;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231135;133;2502;5;12;121;6;18;31;11;55;78;55;5;0;4;3;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231140;511;2502;36;59;452;15;88;138;65;146;286;225;31;0;17;11;6;0;2;0;0;13;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
2016;"MUNICIPIO";231150;141;2502;6;26;115;5;27;39;20;24;90;51;5;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231160;196;2502;3;39;157;6;33;57;9;52;117;79;6;0;3;3;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";231170;133;2502;4;9;124;4;24;43;30;23;75;58;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231180;485;2502;23;111;374;12;80;120;59;103;289;195;21;0;15;13;2;1;2;0;0;9;0;3;1;0;0;2;0;3;3;0;0;1;1;0;0
2016;"MUNICIPIO";231190;81;2502;4;6;75;6;10;23;6;30;48;33;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231195;82;2502;6;11;71;2;15;26;6;22;52;30;3;0;4;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231200;171;2502;16;24;147;8;26;34;21;58;97;74;12;0;5;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231210;98;2502;6;15;83;1;16;36;12;18;55;43;6;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231220;257;2502;0;27;230;4;15;166;13;32;160;97;4;0;7;4;3;0;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231230;333;2502;27;52;281;13;48;95;45;80;189;144;22;0;10;8;2;0;2;0;0;8;0;2;0;1;0;1;0;2;2;0;1;1;0;0;0
2016;"MUNICIPIO";231240;294;2502;19;54;240;8;39;72;37;84;174;120;19;0;13;10;3;0;3;0;1;7;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";231250;70;2502;0;23;47;2;4;25;8;8;44;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231260;94;2502;5;15;79;3;21;21;12;22;56;38;6;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231270;222;2502;10;38;184;8;37;60;17;62;133;88;13;0;12;9;3;0;2;0;0;7;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";231280;36;2502;0;3;33;0;3;13;4;13;22;14;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231290;1122;2502;72;156;966;68;186;262;145;305;617;505;64;0;30;17;13;0;8;0;0;21;0;2;0;0;1;1;0;2;2;1;0;0;0;0;0
2016;"MUNICIPIO";231300;145;2502;10;17;128;5;29;51;10;33;85;60;2;0;4;2;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231310;234;2502;9;52;182;8;37;74;26;37;135;99;7;0;8;8;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231320;207;2502;9;27;180;9;35;56;27;53;126;81;11;0;4;1;3;0;0;0;0;2;0;2;1;0;0;1;0;2;2;0;0;2;0;0;0
2016;"MUNICIPIO";231325;61;2502;1;8;53;1;6;25;3;18;37;24;2;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231330;396;2502;15;64;332;16;68;128;34;86;228;168;14;0;11;8;3;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231335;93;2502;2;12;81;2;12;25;20;22;63;30;3;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231340;456;2502;19;68;388;11;69;157;48;103;281;175;22;0;19;11;8;0;4;0;0;15;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231350;253;2502;11;44;209;10;35;67;43;54;146;107;14;0;13;6;7;0;4;0;0;8;0;2;1;0;0;0;1;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";231355;74;2502;1;15;59;1;12;26;7;13;43;31;3;0;4;4;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231360;172;2502;7;26;146;4;35;52;15;40;98;74;5;0;7;5;2;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231370;49;2502;0;4;45;1;5;22;4;13;27;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231375;90;2502;3;11;79;6;10;20;14;29;56;34;6;0;4;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231380;139;2502;8;16;123;5;18;45;17;38;85;54;8;0;4;3;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
2016;"MUNICIPIO";231390;83;2502;6;12;71;3;14;20;16;18;45;38;6;0;3;2;1;0;0;0;0;3;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
2016;"MUNICIPIO";231395;130;2502;3;15;115;9;28;40;15;23;67;63;3;0;3;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231400;286;2502;2;35;251;15;47;56;67;66;169;117;6;0;5;4;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";231410;293;2502;19;54;239;10;45;93;26;65;174;119;16;0;9;6;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
